indexed_2,tiff,indexed_4,indexed_1,dpi400,dpi200,dpi100,dpi50,indexed_8,high_quality,full_hd_resolution,low_quality,anyScriptOrigin,sd_resolution,validate,jpg,png,4k_resolution,onload,pdf,config,workload,time,max-resident-size
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,corona,1.78,310280
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,cranium,1.94,502156
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,cubus,7.7,2169308
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,flame,2.1,673556
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,france,3.58,1021368
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,frisco,4.84,1397328
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,jelly,1.57,413100
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,karte,18.47,2967080
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,mandelbrot,1.34,398516
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,strawberry,1.59,414228
False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,False,1,village,2.3,673720
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,corona,1.22,228616
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,cranium,2.82,880032
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,cubus,5.55,2583444
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,flame,1.56,422776
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,france,5.36,1993464
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,frisco,5.41,2265056
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,2,jelly,1.82,478608
