NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,config,workload,time,max-resident-size,Resampling,ABR,CBR,Lowpass,Highpass,LowpassWidth,HighpassWidth,VBRRange
False,True,False,False,False,False,False,True,False,False,False,False,False,1,beethoven.wav,16.15,412216,44,8,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,1,dual-channel.wav,3.64,524724,44,8,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,1,helix.wav,6.55,428676,44,8,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,1,single-channel.wav,2.29,415520,44,8,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,1,speech.wav,7.64,420776,44,8,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,1,sweep.wav,0.89,344200,44,8,8,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,beethoven.wav,23.92,642528,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,dual-channel.wav,7.81,564972,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,helix.wav,14.8,583848,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,single-channel.wav,4.65,427316,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,speech.wav,10.75,652352,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,2,sweep.wav,1.08,400308,48,320,160,5000,20000,1000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,3,beethoven.wav,16.0,719660,44,320,8,5000,20000,1000,1000,2
False,True,False,False,True,False,False,False,False,False,False,False,False,3,dual-channel.wav,3.96,738572,44,320,8,5000,20000,1000,1000,2
False,True,False,False,True,False,False,False,False,False,False,False,False,3,helix.wav,7.17,846408,44,320,8,5000,20000,1000,1000,2
False,True,False,False,True,False,False,False,False,False,False,False,False,3,single-channel.wav,2.14,782740,44,320,8,5000,20000,1000,1000,2
False,True,False,False,True,False,False,False,False,False,False,False,False,3,speech.wav,6.14,624400,44,320,8,5000,20000,1000,1000,2
False,True,False,False,True,False,False,False,False,False,False,False,False,3,sweep.wav,0.63,379460,44,320,8,5000,20000,1000,1000,2
False,False,False,False,False,False,True,False,False,False,False,False,True,4,beethoven.wav,19.42,620272,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,4,dual-channel.wav,4.01,432672,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,4,helix.wav,6.32,624632,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,4,single-channel.wav,3.8,433524,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,4,speech.wav,10.02,433120,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,4,sweep.wav,1.1,402100,48,320,320,10000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,beethoven.wav,18.89,425004,44,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,dual-channel.wav,2.84,583216,44,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,helix.wav,4.71,541516,44,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,single-channel.wav,3.01,558148,44,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,speech.wav,9.07,598360,44,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,5,sweep.wav,0.93,405464,44,320,160,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,6,beethoven.wav,13.92,843432,48,320,8,5000,20000,1000,1000,1
False,True,False,False,False,False,False,True,False,False,False,False,False,6,dual-channel.wav,4.59,678576,48,320,8,5000,20000,1000,1000,1
False,True,False,False,False,False,False,True,False,False,False,False,False,6,helix.wav,8.96,733456,48,320,8,5000,20000,1000,1000,1
False,True,False,False,False,False,False,True,False,False,False,False,False,6,single-channel.wav,2.65,704908,48,320,8,5000,20000,1000,1000,1
False,True,False,False,False,False,False,True,False,False,False,False,False,6,speech.wav,6.28,665340,48,320,8,5000,20000,1000,1000,1
False,True,False,False,False,False,False,True,False,False,False,False,False,6,sweep.wav,0.62,377376,48,320,8,5000,20000,1000,1000,1
False,False,False,False,False,False,True,False,False,False,False,False,True,7,beethoven.wav,15.46,550168,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,7,dual-channel.wav,2.84,437068,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,7,helix.wav,4.42,714000,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,7,single-channel.wav,2.77,435448,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,7,speech.wav,6.43,606280,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,True,False,False,False,False,False,True,7,sweep.wav,0.72,390940,22,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,False,True,8,beethoven.wav,13.4,695992,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,False,True,8,dual-channel.wav,3.56,591624,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,False,True,8,helix.wav,6.5,699032,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,False,True,8,single-channel.wav,2.25,699816,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,False,True,8,speech.wav,5.91,652572,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,False,True,8,sweep.wav,0.56,379760,22,320,8,20000,20000,2000,1000,1
False,False,False,False,False,False,False,False,True,False,False,True,True,9,beethoven.wav,20.21,603600,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,True,True,9,dual-channel.wav,6.53,439340,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,True,True,9,helix.wav,12.56,537140,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,True,True,9,single-channel.wav,3.79,510568,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,True,True,9,speech.wav,10.45,538496,48,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,False,True,False,False,True,True,9,sweep.wav,1.02,405728,48,320,160,5000,20000,1000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,beethoven.wav,12.83,600800,44,320,8,5000,20000,2000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,dual-channel.wav,3.16,720432,44,320,8,5000,20000,2000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,helix.wav,5.64,810728,44,320,8,5000,20000,2000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,single-channel.wav,1.64,707752,44,320,8,5000,20000,2000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,speech.wav,5.57,643792,44,320,8,5000,20000,2000,1000,0
False,True,False,False,True,False,False,False,False,False,False,False,False,10,sweep.wav,0.52,276396,44,320,8,5000,20000,2000,1000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,beethoven.wav,14.1,594776,48,320,8,5000,30000,1000,2000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,dual-channel.wav,5.51,428044,48,320,8,5000,30000,1000,2000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,helix.wav,9.41,469604,48,320,8,5000,30000,1000,2000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,single-channel.wav,2.94,422288,48,320,8,5000,30000,1000,2000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,speech.wav,7.84,613840,48,320,8,5000,30000,1000,2000,0
False,False,False,False,False,False,False,False,False,False,True,False,True,11,sweep.wav,0.81,399820,48,320,8,5000,30000,1000,2000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,beethoven.wav,12.52,418568,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,dual-channel.wav,3.92,439896,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,helix.wav,6.58,444940,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,single-channel.wav,2.1,417528,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,speech.wav,5.26,422000,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,12,sweep.wav,0.64,245616,22,320,320,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,beethoven.wav,10.1,422612,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,dual-channel.wav,2.14,422404,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,helix.wav,3.19,424504,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,single-channel.wav,2.16,418344,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,speech.wav,4.61,422236,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,True,False,False,False,False,False,False,13,sweep.wav,0.63,242396,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,beethoven.wav,10.43,416752,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,dual-channel.wav,3.37,427472,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,helix.wav,5.8,432224,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,single-channel.wav,1.9,416460,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,speech.wav,4.52,423176,22,320,8,5000,20000,1000,1000,0
False,True,False,False,False,False,False,True,False,False,False,False,False,14,sweep.wav,0.6,244572,22,320,8,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,beethoven.wav,3.26,569712,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,dual-channel.wav,1.2,418752,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,helix.wav,1.68,424632,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,single-channel.wav,0.71,408976,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,speech.wav,1.53,423232,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,True,False,False,False,False,15,sweep.wav,0.31,139376,8,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,beethoven.wav,11.71,417732,22,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,dual-channel.wav,3.9,503080,22,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,helix.wav,6.65,559640,22,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,single-channel.wav,2.41,417484,22,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,speech.wav,5.34,427712,22,320,160,5000,20000,1000,1000,0
False,False,False,True,False,False,False,False,False,False,True,False,False,16,sweep.wav,0.61,246100,22,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,17,beethoven.wav,11.08,589256,22,320,8,20000,20000,2000,1000,1
False,False,False,True,True,False,False,False,False,False,False,False,False,17,dual-channel.wav,3.14,647220,22,320,8,20000,20000,2000,1000,1
False,False,False,True,True,False,False,False,False,False,False,False,False,17,helix.wav,5.76,677464,22,320,8,20000,20000,2000,1000,1
False,False,False,True,True,False,False,False,False,False,False,False,False,17,single-channel.wav,1.93,624260,22,320,8,20000,20000,2000,1000,1
False,False,False,True,True,False,False,False,False,False,False,False,False,17,speech.wav,4.51,597048,22,320,8,20000,20000,2000,1000,1
False,False,False,True,True,False,False,False,False,False,False,False,False,17,sweep.wav,0.47,268628,22,320,8,20000,20000,2000,1000,1
False,False,False,False,True,False,False,False,False,False,False,False,True,18,beethoven.wav,13.3,557108,48,320,8,5000,20000,1000,2000,0
False,False,False,False,True,False,False,False,False,False,False,False,True,18,dual-channel.wav,5.23,436776,48,320,8,5000,20000,1000,2000,0
False,False,False,False,True,False,False,False,False,False,False,False,True,18,helix.wav,9.51,446680,48,320,8,5000,20000,1000,2000,0
False,False,False,False,True,False,False,False,False,False,False,False,True,18,single-channel.wav,3.23,416796,48,320,8,5000,20000,1000,2000,0
False,False,False,False,True,False,False,False,False,False,False,False,True,18,speech.wav,8.12,421564,48,320,8,5000,20000,1000,2000,0
False,False,False,False,True,False,False,False,False,False,False,False,True,18,sweep.wav,0.82,397668,48,320,8,5000,20000,1000,2000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,beethoven.wav,4.76,413100,8,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,dual-channel.wav,1.78,438064,8,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,helix.wav,2.97,432372,8,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,single-channel.wav,1.12,412828,8,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,speech.wav,2.34,429356,8,320,160,5000,20000,1000,1000,0
False,False,False,True,True,False,False,False,False,False,False,False,False,19,sweep.wav,0.38,160436,8,320,160,5000,20000,1000,1000,0
False,False,False,False,False,False,False,True,False,False,False,False,True,20,beethoven.wav,11.53,719888,22,320,8,5000,20000,1000,1000,1
False,False,False,False,False,False,False,True,False,False,False,False,True,20,dual-channel.wav,3.11,697992,22,320,8,5000,20000,1000,1000,1
False,False,False,False,False,False,False,True,False,False,False,False,True,20,helix.wav,5.5,695668,22,320,8,5000,20000,1000,1000,1
False,False,False,False,False,False,False,True,False,False,False,False,True,20,single-channel.wav,2.02,581508,22,320,8,5000,20000,1000,1000,1
